[INFO] 20:28:21:291 Log/(17629:17636): Pagina víctima: Pid: 3, Página: 0, Marco: 1
[INFO] 20:28:21:297 Log/(17629:17636): Pagina entrante: Pid: 1, Página: 0, Marco: 1
[INFO] 20:28:28:307 Log/(17629:17637): Pagina víctima: Pid: 1, Página: 0, Marco: 1
[INFO] 20:28:28:313 Log/(17629:17637): Pagina entrante: Pid: 3, Página: 0, Marco: 1
[INFO] 20:28:36:323 Log/(17629:17636): Pagina víctima: Pid: 3, Página: 0, Marco: 1
[INFO] 20:28:36:328 Log/(17629:17636): Pagina entrante: Pid: 1, Página: 0, Marco: 1
[INFO] 20:28:44:340 Log/(17629:17637): Pagina víctima: Pid: 1, Página: 0, Marco: 1
[INFO] 20:28:44:345 Log/(17629:17637): Pagina entrante: Pid: 3, Página: 0, Marco: 1
[INFO] 20:28:53:358 Log/(17629:17636): Pagina víctima: Pid: 3, Página: 0, Marco: 1
[INFO] 20:28:53:363 Log/(17629:17636): Pagina entrante: Pid: 1, Página: 0, Marco: 1
[INFO] 20:29:02:375 Log/(17629:17637): Pagina víctima: Pid: 1, Página: 0, Marco: 1
[INFO] 20:29:02:381 Log/(17629:17637): Pagina entrante: Pid: 3, Página: 0, Marco: 1
[INFO] 20:29:13:821 Log/(17643:17649): Pagina víctima: Pid: 3, Página: 0, Marco: 0
[INFO] 20:29:49:318 Log/(17660:17667): Pagina víctima: Pid: 3, Página: 0, Marco: 0
[INFO] 20:29:49:332 Log/(17660:17667): Pagina entrante: Pid: 2, Página: 0, Marco: 0
[INFO] 20:29:50:316 Log/(17660:17666): Pagina víctima: Pid: 2, Página: 0, Marco: 0
[INFO] 20:29:50:321 Log/(17660:17666): Pagina entrante: Pid: 3, Página: 0, Marco: 0
[INFO] 20:29:50:336 Log/(17660:17667): Pagina víctima: Pid: 1, Página: 0, Marco: 1
[INFO] 20:29:50:341 Log/(17660:17667): Pagina entrante: Pid: 2, Página: 0, Marco: 1
[INFO] 20:29:51:314 Log/(17660:17665): Pagina víctima: Pid: 3, Página: 0, Marco: 0
[INFO] 20:29:51:317 Log/(17660:17665): Pagina entrante: Pid: 1, Página: 0, Marco: 0
[INFO] 20:29:51:323 Log/(17660:17666): Pagina víctima: Pid: 2, Página: 0, Marco: 1
[INFO] 20:29:51:328 Log/(17660:17666): Pagina entrante: Pid: 3, Página: 0, Marco: 1
[INFO] 20:29:51:346 Log/(17660:17667): Pagina víctima: Pid: 1, Página: 0, Marco: 0
[INFO] 20:29:51:349 Log/(17660:17667): Pagina entrante: Pid: 2, Página: 0, Marco: 0
[INFO] 20:29:52:324 Log/(17660:17665): Pagina víctima: Pid: 3, Página: 0, Marco: 1
[INFO] 20:29:52:326 Log/(17660:17665): Pagina entrante: Pid: 1, Página: 0, Marco: 1
[INFO] 20:29:52:332 Log/(17660:17666): Pagina víctima: Pid: 2, Página: 0, Marco: 0
[INFO] 20:29:52:336 Log/(17660:17666): Pagina entrante: Pid: 3, Página: 0, Marco: 0
[INFO] 20:29:52:357 Log/(17660:17667): Pagina víctima: Pid: 1, Página: 0, Marco: 1
[INFO] 20:29:52:362 Log/(17660:17667): Pagina entrante: Pid: 2, Página: 0, Marco: 1
[INFO] 20:29:53:331 Log/(17660:17665): Pagina víctima: Pid: 3, Página: 0, Marco: 0
[INFO] 20:29:53:336 Log/(17660:17665): Pagina entrante: Pid: 1, Página: 0, Marco: 0
[INFO] 20:29:53:338 Log/(17660:17666): Pagina víctima: Pid: 2, Página: 0, Marco: 1
[INFO] 20:29:53:343 Log/(17660:17666): Pagina entrante: Pid: 3, Página: 0, Marco: 1
[INFO] 20:29:53:365 Log/(17660:17667): Pagina víctima: Pid: 1, Página: 0, Marco: 0
[INFO] 20:29:53:370 Log/(17660:17667): Pagina entrante: Pid: 2, Página: 0, Marco: 0
[INFO] 20:30:01:361 Log/(17660:17665): Pagina víctima: Pid: 3, Página: 0, Marco: 1
[INFO] 20:30:01:367 Log/(17660:17665): Pagina entrante: Pid: 1, Página: 0, Marco: 1
[INFO] 20:30:08:378 Log/(17660:17666): Pagina víctima: Pid: 1, Página: 0, Marco: 1
[INFO] 20:30:08:383 Log/(17660:17666): Pagina entrante: Pid: 3, Página: 0, Marco: 1
[INFO] 20:30:16:395 Log/(17660:17665): Pagina víctima: Pid: 3, Página: 0, Marco: 1
[INFO] 20:30:16:400 Log/(17660:17665): Pagina entrante: Pid: 1, Página: 0, Marco: 1
[INFO] 20:30:24:411 Log/(17660:17666): Pagina víctima: Pid: 1, Página: 0, Marco: 1
[INFO] 20:30:24:416 Log/(17660:17666): Pagina entrante: Pid: 3, Página: 0, Marco: 1
[INFO] 20:30:33:428 Log/(17660:17665): Pagina víctima: Pid: 3, Página: 0, Marco: 1
[INFO] 20:30:33:433 Log/(17660:17665): Pagina entrante: Pid: 1, Página: 0, Marco: 1
[INFO] 20:30:42:446 Log/(17660:17666): Pagina víctima: Pid: 1, Página: 0, Marco: 1
[INFO] 20:30:42:450 Log/(17660:17666): Pagina entrante: Pid: 3, Página: 0, Marco: 1
[INFO] 20:30:52:463 Log/(17660:17665): Pagina víctima: Pid: 3, Página: 0, Marco: 1
[INFO] 20:30:52:468 Log/(17660:17665): Pagina entrante: Pid: 1, Página: 0, Marco: 1
[INFO] 20:31:02:481 Log/(17660:17666): Pagina víctima: Pid: 1, Página: 0, Marco: 1
[INFO] 20:31:02:486 Log/(17660:17666): Pagina entrante: Pid: 3, Página: 0, Marco: 1
[INFO] 20:31:13:498 Log/(17660:17665): Pagina víctima: Pid: 3, Página: 0, Marco: 1
[INFO] 20:31:13:503 Log/(17660:17665): Pagina entrante: Pid: 1, Página: 0, Marco: 1
[INFO] 20:31:24:514 Log/(17660:17666): Pagina víctima: Pid: 1, Página: 0, Marco: 1
[INFO] 20:31:24:519 Log/(17660:17666): Pagina entrante: Pid: 3, Página: 0, Marco: 1
[INFO] 20:33:49:468 Log/(17735:17741): Pagina víctima: Pid: 1, Página: 0, Marco: 0
[INFO] 20:39:55:172 Log/(17847:17860): Pagina víctima: Pid: 2, Página: 0, Marco: 1
[INFO] 20:39:55:181 Log/(17847:17860): Pagina entrante: Pid: 3, Página: 0, Marco: 1
[INFO] 20:39:55:181 Log/(17847:17858): Pagina víctima: Pid: 1, Página: 0, Marco: 0
[INFO] 20:39:55:188 Log/(17847:17858): Pagina entrante: Pid: 2, Página: 0, Marco: 0
[INFO] 20:39:56:173 Log/(17847:17857): Pagina víctima: Pid: 3, Página: 0, Marco: 1
[INFO] 20:39:56:177 Log/(17847:17857): Pagina entrante: Pid: 1, Página: 0, Marco: 1
[INFO] 20:39:56:181 Log/(17847:17860): Pagina víctima: Pid: 2, Página: 0, Marco: 0
[INFO] 20:39:56:187 Log/(17847:17860): Pagina entrante: Pid: 3, Página: 0, Marco: 0
[INFO] 20:39:56:189 Log/(17847:17858): Pagina víctima: Pid: 1, Página: 0, Marco: 1
[INFO] 20:39:56:192 Log/(17847:17858): Pagina entrante: Pid: 2, Página: 0, Marco: 1
[INFO] 20:39:57:178 Log/(17847:17857): Pagina víctima: Pid: 3, Página: 0, Marco: 0
[INFO] 20:39:57:180 Log/(17847:17857): Pagina entrante: Pid: 1, Página: 0, Marco: 0
[INFO] 20:39:57:187 Log/(17847:17860): Pagina víctima: Pid: 2, Página: 0, Marco: 1
[INFO] 20:39:57:191 Log/(17847:17860): Pagina entrante: Pid: 3, Página: 0, Marco: 1
[INFO] 20:39:57:193 Log/(17847:17858): Pagina víctima: Pid: 1, Página: 0, Marco: 0
[INFO] 20:39:57:195 Log/(17847:17858): Pagina entrante: Pid: 2, Página: 0, Marco: 0
[INFO] 20:39:58:183 Log/(17847:17857): Pagina víctima: Pid: 3, Página: 0, Marco: 1
[INFO] 20:39:58:186 Log/(17847:17857): Pagina entrante: Pid: 1, Página: 0, Marco: 1
[INFO] 20:39:58:192 Log/(17847:17860): Pagina víctima: Pid: 2, Página: 0, Marco: 0
[INFO] 20:39:58:196 Log/(17847:17860): Pagina entrante: Pid: 3, Página: 0, Marco: 0
[INFO] 20:39:58:197 Log/(17847:17858): Pagina víctima: Pid: 1, Página: 0, Marco: 1
